INFO:posts.tasks: Got votes [{'post_id': 1, 'user_id': 1, 'is_positive': True}, {'post_id': 1, 'user_id': 2, 'is_positive': True}] (2017-01-16 10:01:27; tasks.py:136)
INFO:posts.tasks: Got post voters: [2] (2017-01-16 10:01:27; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2017-01-16 10:01:27; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:01:27; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:01:27; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 1 {1} (2017-01-16 10:01:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {1} (2017-01-16 10:01:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:01:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 3 (2017-01-16 10:01:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:01:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:01:27; tasks.py:85)
INFO:posts.tasks: Sending expired push upvote 1 {2} (2017-01-16 10:01:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {2} (2017-01-16 10:01:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:01:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 5 (2017-01-16 10:01:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:01:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:01:27; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'post_id': 1, 'user_id': 1}] (2017-01-16 10:02:27; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2017-01-16 10:02:27; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}] (2017-01-16 10:02:27; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2017-01-16 10:02:27; tasks.py:129)
INFO:posts.tasks: Got votes [{'post_id': 1, 'user_id': 1, 'is_positive': True}, {'post_id': 1, 'user_id': 2, 'is_positive': True}] (2017-01-16 10:02:27; tasks.py:136)
INFO:posts.tasks: Got post voters: [2] (2017-01-16 10:02:27; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2017-01-16 10:02:27; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:02:27; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:02:27; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 1 {1} (2017-01-16 10:02:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {1} (2017-01-16 10:02:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:02:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 3 (2017-01-16 10:02:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:02:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:02:27; tasks.py:85)
INFO:posts.tasks: Sending expired push upvote 1 {2} (2017-01-16 10:02:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {2} (2017-01-16 10:02:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:02:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 5 (2017-01-16 10:02:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:02:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:02:27; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'post_id': 1, 'user_id': 1}] (2017-01-16 10:03:27; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2017-01-16 10:03:27; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}] (2017-01-16 10:03:27; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2017-01-16 10:03:27; tasks.py:129)
INFO:posts.tasks: Got votes [{'post_id': 1, 'user_id': 1, 'is_positive': True}, {'post_id': 1, 'user_id': 2, 'is_positive': True}] (2017-01-16 10:03:27; tasks.py:136)
INFO:posts.tasks: Got post voters: [2] (2017-01-16 10:03:27; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2017-01-16 10:03:27; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:03:27; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:03:27; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 1 {1} (2017-01-16 10:03:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {1} (2017-01-16 10:03:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:03:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 3 (2017-01-16 10:03:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:03:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:03:27; tasks.py:85)
INFO:posts.tasks: Sending expired push upvote 1 {2} (2017-01-16 10:03:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {2} (2017-01-16 10:03:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:03:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 5 (2017-01-16 10:03:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:03:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:03:27; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'post_id': 1, 'user_id': 1}] (2017-01-16 10:04:27; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2017-01-16 10:04:27; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}] (2017-01-16 10:04:27; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2017-01-16 10:04:27; tasks.py:129)
INFO:posts.tasks: Got votes [{'post_id': 1, 'user_id': 1, 'is_positive': True}, {'post_id': 1, 'user_id': 2, 'is_positive': True}] (2017-01-16 10:04:27; tasks.py:136)
INFO:posts.tasks: Got post voters: [2] (2017-01-16 10:04:27; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2017-01-16 10:04:27; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:04:27; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:04:27; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 1 {1} (2017-01-16 10:04:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {1} (2017-01-16 10:04:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:04:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 3 (2017-01-16 10:04:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:04:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:04:27; tasks.py:85)
INFO:posts.tasks: Sending expired push upvote 1 {2} (2017-01-16 10:04:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {2} (2017-01-16 10:04:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [] (2017-01-16 10:04:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [], notify_type is 5 (2017-01-16 10:04:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [] (2017-01-16 10:04:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [] (2017-01-16 10:04:27; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'post_id': 1, 'user_id': 1}] (2017-01-16 10:05:27; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2017-01-16 10:05:27; tasks.py:108)
